,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX
ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern
596,"NP-Nom VP-Past было, но Cl","я пошел было на работу, но передумал",,Activity,Antiresultative,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
423,"Cl, а то VP-Fut","нужно больше работать, а то уволят",,Activity,Apprehension,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
356,чем бы VP VP (бы),"Чем бы учиться, он гуляет",Similar to 223,Activity,Assessment,Negative,Options,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
352,хоть VP-Imper (но/а) Cl,"хоть умри, а завтра должен быть на работе рано утром",,Activity,Causation,Direct,Concession,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
53,"ввиду того, что Cl Cl","Ввиду того, что осложнилась обстановка на Ближнем Востоке, было введено чрезвычайное положение.",Add one more comma between Cl and Cl. Проверено на опечатки.,Activity,Cause,,,Assertive,Biclausal / Conj,,Biclausal,,,,,,Conj,,,,,
656,"VP-Imper, а (не то) VP-Perf.Fut","поспеши, а не то опоздаешь на экзамен",,Activity,Causation,Direct,Apprehension,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
14,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
102,даром что Cl,"Люди везде одинаковые, даром что говорят на разных языках.",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
145,как бы ни VP-Past Cl,"Как бы ни хотелось спать, но пришлось идти на работу",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
151,как ни VP Cl,"как ни старался, экзамен сдать не смог",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
362,что бы ни VP-Past Cl,"Что бы он ни говорил, я ручаюсь за него",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
420,"Cl, тем не менее, Cl","было сложно, тем не менее, мы справились",Конструкция не выходит при поиске.,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
46,"быть-Past бы NP, а Cl","было бы желание, а деньги найдутся",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
286,"раз (уж) Cl, (то) Cl","Раз (уж) мы встретились, давайте обсудим эту проблему",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
306,сколько бы ни VP-Past Cl,"сколько бы ни было соблазнов, я смогу перед ними устоять.",,Activity,Condition,,Quantification,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
316,"стоить (NP-Dat) VP-Perf, как Cl","стоило ей отвернуться, как он сбежал",,Activity,Condition,,Time,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
401,"Cl без того, чтобы Cl","ни одна ночь не проходила без того, чтобы Сережа не играл на скрипке",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
208,не то XP не то XP,"Он пошел не то к себе на дачу, не то на станцию.",,Discourse,Options,,Degree of certainty,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,
655,VP-Imper NP-Nom бы VP-Past,"Преподавай она в школе, все бы были отличниками",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
283,пускай XP,"пускай вода холодная, всё равно буду плавать",Дефиниция для 283 и 284 дана одна и та же. Стоит ли соедить их в одну конструкцию?,Activity,Concession,,,Assertive,Biclausal / Conj,,Biclausal,,,,,,Conj,,,,,
661,"VP-Past бы ,Cl бы","Бросил бы ее тогда, ничего бы не случилось",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
28,(NP-Nom) VP-VP и Cl,Поспит-поспит и проснётся,,Activity,Continuation,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
10,"(единственное) что NP-Nom (не) VP, так это Cl","Чего дочь не сделала, так это не убралась",,Activity,Exclusivity,,Focus,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
91,где бы ни VP-Past Cl,"где бы он ни появлялся, сразу становился душой общества",,Activity,Location,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
329,"то VP, то VP","он то плакал, то угрожал","Add он был то веселым, то грустным.",Activity,Options,,Distribution,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
328,"то ли XP, то ли XP","Сегодня идет то ли дождь, то ли снег",,Discourse,Options,,Degree of certainty,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,
414,Cl с тем чтобы VP,Мы встретимся с тем чтобы закончить эту работу,,Activity,Purpose,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
421,"Cl, (а) не то с NP-Ins быть-Fut иметь дело","прекрати обижать свою сестру, не то будешь иметь дело со мной.",,Activity,Threat,,,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
67,вот уже Num-Nom NP-Gen как Cl,вот уже 3 месяца как она уехала,,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
71,"Вот VP-Fut, и VP-Fut","Вот придет домой, и поговорим",,Activity,Time,,Condition,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
139,"каждый раз VP, (когда Cl)","каждый раз улыбаюсь, когда вижу её",Поиск конструкцию не выдает!,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
167,когда бы ни VP-Past Cl,"Когда бы я ни зашёл, вы всегда на месте.",,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
199,"не пройти и (Num-Gen) NP-Gen, как Cl","не пройдёт и трех месяцев, как мы вернёмся домой",,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
410,"Cl не только Cl, но и Cl","Он был не только умён, но и добр",,Characteristics,Additive,,,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,
303,"сегодня ХP, завтра XP","Зима в Москве суровая. Сегодня здоров, завтра ― болен.",,Activity,Time,,Comparison,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
406,"Cl до тех пор, пока Cl","Жди до тех пор, пока я вернусь",Similar to 407,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
407,"Cl до той поры, пока/когда Cl","Он не уйдет до той поры, пока всё не съест",Similar to 406,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
415,"Cl с тех пор, как Cl","он мне не звонил с тех пор, как переехал в Москву",,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
581,NP-Nom VP в то время как Cl,она пришла в то время как он уходил,,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
154,"как VP, так и VP","Как услышал, так и записал",,Characteristics,Comparison,Sameness,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
207,не то чтобы Cl а/но Cl,"он не то чтобы расстроился, но огорчился",,Characteristics,Comparison,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
317,"столько NP-Gen, что Cl","На концерт пришло столько людей, что некуда было сесть",,Characteristics,Quantification,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,
174,"ладно (бы) Cl, но/так (ещё и) Cl","Ладно дети шумят, но взрослые!",Similar to 223,Characteristics / Activity,Assessment,Negative,Concession,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
223,"нет чтобы/бы VP-Inf, Cl","нет чтобы подождать, он ушел без нас!","Конструкции 222 и 223 слишком похожи в записи. Может быть, это одна конструкция, где вторая клауза факультативна? нет (что)бы VP-Inf, (Cl).     Также Similar to 174.",Characteristics / Activity,Assessment,Negative,Options,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,
