(а) как же NP-Nom?,А как же мама?,Discourse Reaction on a previous discourse,,,,,Clause,Clause,,,,,,,,,,,,,,,
(а) при чём здесь|тут NP-Nom?,При чём здесь наши отношения?,Discourse Reaction on a previous discourse,,,,,Clause,Clause,,,,,,,,,,,,,,,
(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,,,,,,Clause,Clause,,,,,,,,,,,,,,,              
как насчёт XP?,как насчёт выпить?,Activity Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,
какой ещё NP?,Какую ещё машину ты купил?,,,,,,Clause,Clause,,,,,,,,,,,,,,,
какой из Pron-Gen NP-Nom?,какой из тебя учитель?,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,
на что NP-Dat NP-Nom?,на что мне эти книги?,Characteristics Purpose,,,,,Clause,Clause,,,,,,,,,,,,,,,
нельзя ли VP-Inf?,нельзя ли сделать музыку потише,Activity Causation Indirect Request,,,,,Clause,Clause,,,,,,,,,,,,,,,
разве не NP-Nom?,разве не красота?,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,
чего (это) VP?,Чего лежишь,,,,,,Clause,Clause,,,,,,,,,,,,,,,
чем NP-Nom не NP-Nom?,чем картошка не еда?,I agree,Characteristics,Categorisation,,,Clause,Clause,,,,,,,,,,,,,,,
что же NP-Nom VP?,что же он сидит?,,,,,,Clause,Clause,,,,,,,,,,,,,,,
Что с NP-Ins?,Что с ним? Почему он плачет?,"Конструкция используется, когда говорящий замечает, что некоторый [объект]Theme изменился, и хочет узнать причину изменений. Используется для уточнения информации об [объекте]Theme.",,,,,Clause,Clause,,,,,,,,,,,,,,,
что тут VP-Inf?,Что тут думать? Надо срочно покупать эту сумку!,"Comment: что тут медлить. Не нужно. Конструкция выражает уверенность автора в принятии некоторого решения. У слушающего не должно быть никаких сомнений, и желания выполнить [другое действие]Action",,,,,Clause,Clause,,,,,,,,,,,,,,,
что Adj-Gen?,что плохого?,"Конструкция используется для фокусировки внимания на теме, которая соответствует [определенному качеству]Property . Meaning: я не согласен с тобой",,,,,Clause,Clause,,,,,,,,,,,,,,,
"NP-Nom что, VP?","он что, выпивает?",Discourse Topic,,,,,Clause,Clause,,,,,,,,,,,,,,,
VP NP-Nom наконец (или нет)?,починит он наконец компьютер?,"Attitude OR Activity Causation Indirect Конструкция с риторическим вопросом выражает крайную степень недовольства или нетерпения говорящего тем, что [кто-либо ]Agent не сделал [что-либо]Action, что от него давно ожидали/ждут.",,,,,Clause,Clause,,,,,,,,,,,,,,,
