,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
471,NP-Dat (не) VP-ся,мне не спится,,Activity,Antiresultative,,,,Clause / Verb pattern,Clause,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
98,даваться-Past Pron-Dat этот NP-Nom!,дался тебе этот неудачник!,,Characteristics,Assessment,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
258,от/из NP-Gen нести NP-Ins,от него несёт алкоголем,,Characteristics,Assessment,Negative,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
274,пойти VP,пошли посмотрим фильм,,Activity ,Assessment,Direct,Purpose,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
276,попасть в NP-Acc,его мама попала в сумасшедший дом,"EXAMPLES: попасть в тюрьму, в плохую компанию НО ЕЩЕ [ [Попасть]попасть [в]в [театр]Location]",Activity ,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
304,сидеть за NP-Ins,сидеть за работой,,Activity ,Assessment,,Intensity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
450,NP иметь дело с NP-Ins,он когда-то имел дело с трудными подростками,"бывает еще ""иметь опыт""",Characteristics,Assessment,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
474,NP-Dat дать Num-Nom лет,Паше дают двадцать лет на вид,"надо развести две конструкции дать СОВ ВИД про срок в тюрьме, а давать НЕСОВ ВИД про возраст человека. Нужно переделать название конструкции!!",Characteristics,Assessment,Age,Approximation,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
475,NP-Dat идти XP,Ей идёт эта причёска,,Characteristics,Assessment,Positive,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
480,NP-Dat не пристать VP-Inf,тебе не пристало ходить по дискотекам,,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
485,NP-Dat стоить VP-Inf,повару стоит научиться готовить,Improve illustration and examples! Конструкция используется для выражения пожелания [некоторому участнику]Participant.,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
489,NP-Dat хватать NP-Gen,нам хватает сахара,Конструкция используется для выражения (не)достаточного количества некоторого [объекта]Stimulus для какого-либо [субъекта]Experiencer или [объекта]Experiencer.,Characteristics,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
507,NP-Nom вести в NP-Acc,дверь вела в комнату,"Конструция обозначает, что [что-либо]Theme имеет то или иное [направление]Location, служит путём [куда-нибудь]Location.",Characteristics,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
508,NP-Nom вести NP-Acc,учительница вела урок,"Конструкция обозначает, что [кто-либо]Agent занимается какой-либо [деятельностью]Theme, выполняет какие-либо [обязанности]Theme. Example: [ведет]вести [собрание]Theme]; [ [Врач]Agent [вел]вести [больного]Theme]NP-Nom_вести_NP-Acc после операции.",Characteristics / Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
513,NP-Nom закатиться|залиться NP-Dat,Она закатилась слезами,,Activity,Assessment,,Manner,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
514,NP-Nom занимать Num-Acc NP-Acc,у меня это заняло десять минут,,Characteristics,Assessment,Time,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
535,NP-Nom не выносить NP-Acc,Она не выносит нецензурную речь,,Characteristics,Assessment,Negative,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
542,NP-Nom обернуться NP-Ins,Дело обернулось бедой,,Activity,Assessment,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
544,NP-Nom отличаться NP-Ins,Он отличается большой выносливостью,,Characteristics,Assessment,,Exclusivity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
550,NP-Nom прийтись-Past (NP-Dat) XP,сапоги пришлись ему впору,,Characteristics,Assessment,Size,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
515,NP-Nom знать толк в NP-Loc,он знает толк в настольных играх,"similar to он мастер готовить, добавить ""разбираться в NP-Loc""",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
536,NP-Nom не играть (никакой) роль,Это обстоятельство не сыграло в его судьбе никакой роли,"Зачем включено отрицание? Бывает ""играть роль"". Конструкция обозначает, что [что-то]Theme является неважным, несущественным.",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,Negation,Negation,,
169,краснеть за NP-Acc,мама краснела за оценки сына,,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
198,не мочь не VP-Inf,Не могу не согласиться,,Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
468,NP-Acc привлекать в NP-Loc NP-Nom,женщин привлекают в богачах их деньги,,Characteristics,Attitude,Positive,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
490,NP-Dat NP-Acc не сломить,армии меня не сломить,"Конструкция обозначает, что [что-либо или кто-либо]Agent (не) способен лишить [кого-либо]Patient силы энергии или ослабить его физически/морально.",Characteristics / Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
531,NP-Nom над-VP-ся над NP-Ins,Они надругались над законами экономики,надсмехаться в конструктиконе - устаревшее или просторечное,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
562,NP-Nom терпеть не мочь NP-Acc/VP-Inf.Imp,Я терпеть не могу соревноваться!,"Конструкция обозначает, что [говорящий или участник ситуации]Experiencer очень не любит/не переносит [что-либо или кого-либо.]Theme",Characteristics,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
